Y,M,D,H,GG,GD
1994,2,5,10,136,54
1994,2,5,11,261,62
1994,2,5,12,325,90
1994,2,5,13,369,89
1994,2,5,14,369,83
1994,2,5,15,297,100
1994,2,5,16,153,109
1994,2,5,17,50,46
1994,2,5,18,11,11
1994,2,5,19,0,0
1994,2,5,20,0,0
1994,2,5,21,0,0
1994,2,5,22,0,0
1994,2,5,23,0,0
1994,2,5,24,0,0
1994,2,6,1,0,0
1994,2,6,2,0,0
1994,2,6,3,0,0
1994,2,6,4,0,0
1994,2,6,5,0,0
1994,2,6,6,0,0
1994,2,6,7,0,0
1994,2,6,8,0,0
1994,2,6,9,6,5
1994,2,6,10,69,64
1994,2,6,11,97,91
1994,2,6,12,172,153
1994,2,6,13,206,172
1994,2,6,14,264,163
1994,2,6,15,186,150
1994,2,6,16,131,111
1994,2,6,17,44,42
1994,2,6,18,6,6
1994,2,6,19,0,0
1994,2,6,20,0,0
1994,2,6,21,0,0
1994,2,6,22,0,0
1994,2,6,23,0,0
1994,2,6,24,0,0
1994,2,7,1,0,0
1994,2,7,2,0,0
1994,2,7,3,0,0
1994,2,7,4,0,0
1994,2,7,5,0,0
1994,2,7,6,0,0
1994,2,7,7,0,0
1994,2,7,8,0,0
1994,2,7,9,11,10
1994,2,7,10,56,52
1994,2,7,11,147,124
1994,2,7,12,228,156
1994,2,7,13,264,169
1994,2,7,14,336,127
1994,2,7,15,317,94
1994,2,7,16,222,85
1994,2,7,17,106,56
1994,2,7,18,14,14
1994,2,7,19,0,0
1994,2,7,20,0,0
1994,2,7,21,0,0
1994,2,7,22,0,0
1994,2,7,23,0,0
1994,2,7,24,0,0
1994,2,8,1,0,0
1994,2,8,2,0,0
1994,2,8,3,0,0
1994,2,8,4,0,0
1994,2,8,5,0,0
1994,2,8,6,0,0
1994,2,8,7,0,0
1994,2,8,8,0,0
1994,2,8,9,11,10
1994,2,8,10,100,77
1994,2,8,11,133,122
1994,2,8,12,219,160
1994,2,8,13,286,165
1994,2,8,14,314,147
1994,2,8,15,303,112
1994,2,8,16,203,102
1994,2,8,17,94,64
1994,2,8,18,11,11
1994,2,8,19,0,0
1994,2,8,20,0,0
1994,2,8,21,0,0
1994,2,8,22,0,0
1994,2,8,23,0,0
1994,2,8,24,0,0
1994,2,9,1,0,0
1994,2,9,2,0,0
1994,2,9,3,0,0
1994,2,9,4,0,0
1994,2,9,5,0,0
1994,2,9,6,0,0
1994,2,9,7,0,0
1994,2,9,8,0,0
1994,2,9,9,8,8
1994,2,9,10,81,74
1994,2,9,11,181,128
1994,2,9,12,269,149
1994,2,9,13,311,157
1994,2,9,14,303,158
1994,2,9,15,256,145
1994,2,9,16,169,118
1994,2,9,17,78,66
1994,2,9,18,14,11
1994,2,9,19,0,0
1994,2,9,20,0,0
1994,2,9,21,0,0
1994,2,9,22,0,0
1994,2,9,23,0,0
1994,2,9,24,0,0
1994,2,10,1,0,0
1994,2,10,2,0,0
1994,2,10,3,0,0
1994,2,10,4,0,0
1994,2,10,5,0,0
1994,2,10,6,0,0
1994,2,10,7,0,0
1994,2,10,8,0,0
1994,2,10,9,6,5
1994,2,10,10,97,81
1994,2,10,11,131,120
