Hour,Grid_kVA
6887,27.506033333333335
6888,49.94703333333333
6889,59.381553333333336
6890,59.381553333333336
6891,59.381553333333336
6892,59.381553333333336
6893,59.381553333333336
6894,59.381553333333336
6895,59.381553333333336
6896,59.381553333333336
6897,40.63003333333333
6898,40.63003333333333
6899,40.63003333333333
6900,40.63003333333333
6901,42.169533333333334
6902,34.60203333333333
6903,34.60203333333333
6904,34.60203333333333
6905,34.60203333333333
6906,49.73703333333333
6907,48.83303333333333
6908,39.79103333333333
6909,39.79103333333333
6910,39.79103333333333
6911,39.79103333333333
6912,54.86103333333333
6913,59.381553333333336
6914,59.381553333333336
6915,59.381553333333336
6916,59.381553333333336
6917,59.381553333333336
6918,59.381553333333336
6919,59.381553333333336
6920,59.381553333333336
6921,40.63003333333333
6922,40.63003333333333
6923,40.63003333333333
6924,40.63003333333333
6925,42.169533333333334
6926,34.60203333333333
6927,34.60203333333333
6928,34.60203333333333
6929,34.60203333333333
6930,49.73703333333333
6931,48.83303333333333
6932,39.79103333333333
6933,39.79103333333333
6934,39.79103333333333
6935,39.79103333333333
6936,54.86103333333333
6937,59.381553333333336
6938,59.381553333333336
6939,59.381553333333336
6940,59.381553333333336
6941,59.381553333333336
6942,59.381553333333336
6943,59.381553333333336
6944,59.381553333333336
6945,40.63003333333333
6946,40.63003333333333
6947,40.63003333333333
6948,40.63003333333333
6949,42.169533333333334
6950,34.60203333333333
6951,34.60203333333333
6952,26.976033333333334
6953,26.976033333333334
6954,42.11103333333333
6955,42.11103333333333
6956,27.506033333333335
6957,27.506033333333335
6958,27.506033333333335
6959,27.506033333333335
6960,48.13903333333333
6961,59.381553333333336
6962,59.381553333333336
6963,59.381553333333336
6964,59.381553333333336
6965,59.381553333333336
6966,59.381553333333336
6967,59.381553333333336
6968,59.381553333333336
6969,40.63003333333333
6970,40.63003333333333
6971,40.63003333333333
6972,40.63003333333333
6973,42.169533333333334
6974,34.60203333333333
6975,34.60203333333333
6976,33.69803333333333
6977,33.69803333333333
6978,48.83303333333333
6979,48.83303333333333
6980,39.79103333333333
6981,39.79103333333333
6982,39.79103333333333
6983,39.79103333333333
6984,54.86103333333333
6985,56.66955333333333
6986,56.66955333333333
6987,59.381553333333336
6988,59.381553333333336
6989,59.381553333333336
6990,59.381553333333336
6991,59.381553333333336
6992,59.381553333333336
6993,42.43803333333334
6994,42.43803333333334
6995,40.63003333333333
6996,40.63003333333333
6997,42.169533333333334
6998,34.60203333333333
6999,34.60203333333333
7000,29.688033333333333
7001,29.688033333333333
7002,42.11103333333333
7003,42.11103333333333
7004,25.698033333333335
7005,25.698033333333335
7006,27.506033333333335
7007,27.506033333333335
7008,49.94703333333333
7009,56.66955333333333
7010,56.66955333333333
7011,59.381553333333336
7012,59.381553333333336
7013,59.381553333333336
7014,59.381553333333336
7015,59.381553333333336
7016,59.381553333333336
7017,57.573033333333335
7018,57.573033333333335
7019,55.765033333333335
7020,55.765033333333335
7021,49.73703333333333
7022,49.73703333333333
7023,49.73703333333333
7024,44.82303333333333
7025,44.82303333333333
7026,42.11103333333333
7027,42.11103333333333
7028,25.698033333333335
7029,25.698033333333335
7030,27.506033333333335
7031,27.506033333333335
7032,49.94703333333333
7033,56.66955333333333
7034,54.86155333333333
7035,59.381553333333336
7036,59.381553333333336
7037,59.381553333333336
7038,59.381553333333336
7039,59.381553333333336
7040,59.381553333333336
7041,57.573033333333335
