Hour,T
1004,4.1
1005,3.6
1006,3.7
1007,3.7
1008,3.6
1009,3.2
1010,2.4
1011,1.9
1012,2.3
1013,2.5
1014,2.5
1015,2.5
1016,2.6
1017,3.5
1018,4.3
1019,5.1
1020,6.0
1021,6.1
1022,6.7
1023,7.3
1024,7.7
1025,7.7
1026,7.5
1027,6.9
1028,6.7
1029,6.7
1030,6.6
1031,6.6
1032,6.7
1033,6.7
1034,6.7
1035,6.6
1036,6.7
1037,6.8
1038,6.9
1039,6.8
1040,6.6
1041,6.8
1042,7.4
1043,8.4
1044,9.2
1045,9.5
1046,9.6
1047,9.6
1048,9.7
1049,9.0
1050,8.5
1051,8.0
1052,7.9
1053,8.0
1054,8.0
1055,7.7
1056,7.4
1057,7.0
1058,6.9
1059,6.7
1060,6.6
1061,6.2
1062,6.3
1063,5.9
1064,6.0
1065,6.4
1066,7.3
1067,8.1
1068,8.8
1069,8.8
1070,8.5
1071,8.5
1072,8.6
1073,8.4
1074,8.2
1075,7.7
1076,7.7
1077,7.3
1078,6.9
1079,5.0
1080,3.5
1081,2.6
1082,3.1
1083,4.0
1084,5.0
1085,4.9
1086,4.8
1087,4.8
1088,4.7
1089,5.0
1090,6.0
1091,7.0
1092,7.7
1093,8.1
1094,7.9
1095,7.9
1096,7.9
1097,7.7
1098,7.2
1099,6.7
1100,6.3
1101,6.2
1102,5.9
1103,5.5
1104,5.1
1105,3.6
1106,2.9
1107,2.7
1108,2.6
1109,2.2
1110,2.3
1111,2.9
1112,3.0
1113,3.2
1114,3.4
1115,3.6
1116,3.7
1117,4.2
1118,4.6
1119,5.0
1120,5.1
1121,4.9
1122,3.0
1123,2.6
1124,3.4
1125,3.2
1126,2.8
1127,2.6
1128,2.8
1129,2.9
1130,2.1
1131,1.6
1132,1.8
1133,2.2
1134,2.4
1135,2.6
1136,2.9
1137,3.3
1138,3.8
1139,4.5
1140,5.5
1141,6.6
1142,7.0
1143,6.6
1144,6.4
1145,6.5
1146,5.7
1147,5.6
1148,5.7
1149,5.9
1150,4.6
1151,2.9
1152,3.0
1153,3.8
1154,4.6
1155,4.6
1156,4.6
1157,5.1
1158,3.1
1159,2.8
1160,3.7
1161,5.6
1162,6.3
1163,6.9
1164,7.5
1165,8.0
1166,7.6
1167,7.0
1168,5.9
1169,6.3
1170,5.7
1171,5.9
1172,4.0
1173,4.7
1174,4.4
1175,3.5
1176,3.1
1177,2.5
1178,2.1
1179,1.6
1180,1.2
1181,0.8
1182,0.4
1183,0.4
1184,0.5
1185,0.4
1186,1.4
1187,2.6
1188,3.2
1189,3.2
1190,4.5
1191,4.4
1192,3.6
1193,3.1
1194,2.3
1195,1.4
1196,0.8
1197,0.5
1198,0.2
1199,-0.4
1200,-0.5
1201,-1.0
1202,-1.1
1203,-1.3
1204,-1.6
1205,-2.0
1206,-2.0
1207,-2.3
1208,-2.4
1209,-1.6
1210,-0.2
1211,1.0
1212,2.1
1213,3.2
1214,3.8
1215,4.7
1216,4.3
1217,3.8
1218,2.6
