Hour;T;N;NE;E;SE;S;SW;W;NW;Horizontal
131;6.1;25.53324699;25.53324699;67.06377672;92.76665554;79.08511547;34.03361714;25.53324699;25.53324699;58
132;6.6;17.20913687;17.20913687;17.82497353;18.59512195;18.55337911;17.72419739;17.20913687;17.20913687;36
133;7;24.04432479;24.04432479;24.45954522;25.894903;26.24621716;25.30769264;24.04432479;24.04432479;50
134;7.4;53.93423393;53.93423393;53.93423393;127.4761485;165.0057988;137.4712328;61.00182583;53.93423393;125
135;7;35.4411731;35.4411731;35.4411731;44.65451552;54.64617811;53.38780924;41.61654432;35.4411731;75
136;6.7;32.26485816;32.26485816;32.26485816;108.043423;307.4709552;345.6864881;200.303881;32.26485816;86
137;6;3.40841773;3.40841773;3.40841773;3.838768967;24.14745949;32.30750062;23.53885093;3.40841773;19
138;5.5;0;0;0;0;0;0;0;0;0
139;4.7;0;0;0;0;0;0;0;0;0
140;4.4;0;0;0;0;0;0;0;0;0
141;4.5;0;0;0;0;0;0;0;0;0
142;5.2;0;0;0;0;0;0;0;0;0
143;5.2;0;0;0;0;0;0;0;0;0
144;5.8;0;0;0;0;0;0;0;0;0
145;5.9;0;0;0;0;0;0;0;0;0
146;4.7;0;0;0;0;0;0;0;0;0
147;4.2;0;0;0;0;0;0;0;0;0
148;4;0;0;0;0;0;0;0;0;0
149;4.8;0;0;0;0;0;0;0;0;0
150;5;0;0;0;0;0;0;0;0;0
151;5;0;0;0;0;0;0;0;0;0
152;4.6;0;0;0;0;0;0;0;0;0
153;4.6;0;0;0;0;0;0;0;0;0
154;4.9;2.860088678;2.899878861;3.194096678;3.292657139;3.137824862;2.860088678;2.860088678;2.860088678;6
155;5.2;16.02277111;16.02277111;17.48598412;18.38484933;17.90004115;16.31555365;16.02277111;16.02277111;33
156;5.8;33.77666564;33.77666564;43.55498428;55.69289519;54.99257607;41.86426436;33.77666564;33.77666564;72
157;6.2;15.64908043;15.64908043;15.82918049;16.44428301;16.59356665;16.18958307;15.64908043;15.64908043;33
158;6.5;14.66188162;14.66188162;14.66188162;15.26583644;15.57238441;15.34557219;14.71826331;14.66188162;31
159;6.7;11.77528003;11.77528003;11.77528003;12.18952744;12.63693699;12.57959958;12.05110269;11.77528003;25
160;6.7;13.27431852;13.27431852;13.27431852;14.02197145;15.98082916;16.35424964;14.92348824;13.27431852;28
161;6.5;3.805253936;3.805253936;3.805253936;4.477663794;35.02253114;47.28074088;34.0716;3.805253936;8
162;5.6;0;0;0;0;0;0;0;0;0
163;5.3;0;0;0;0;0;0;0;0;0
164;5.8;0;0;0;0;0;0;0;0;0
165;5.8;0;0;0;0;0;0;0;0;0
166;5.2;0;0;0;0;0;0;0;0;0
167;4.8;0;0;0;0;0;0;0;0;0
168;4;0;0;0;0;0;0;0;0;0
169;3.7;0;0;0;0;0;0;0;0;0
170;2.8;0;0;0;0;0;0;0;0;0
171;2.1;0;0;0;0;0;0;0;0;0
172;2;0;0;0;0;0;0;0;0;0
173;1.7;0;0;0;0;0;0;0;0;0
174;1.7;0;0;0;0;0;0;0;0;0
175;1.6;0;0;0;0;0;0;0;0;0
176;1.4;0;0;0;0;0;0;0;0;0
177;2;0;0;0;0;0;0;0;0;0
178;2.9;12.61201236;24.73155806;111.7768435;140.7327158;94.63721762;12.61201236;12.61201236;12.61201236;33
179;4.5;42.37429932;42.37429932;256.095471;386.4012325;315.1806824;84.15385294;42.37429932;42.37429932;122
180;4.3;20.18984069;20.18984069;21.01223179;22.02548588;21.96344392;20.86244923;20.18984069;20.18984069;42
181;4.8;11.77598163;11.77598163;11.87880484;12.225816;12.3093203;12.08040204;11.77598163;11.77598163;25
182;5.4;21.01708694;21.01708694;21.01708694;22.21355651;22.81762507;22.36696281;21.12556158;21.01708694;44
183;5.4;21.05298749;21.05298749;21.05298749;22.30759811;23.65733233;23.48147666;21.88304497;21.05298749;44
184;5.4;10.36101071;10.36101071;10.36101071;10.80456969;11.96192011;12.18147951;11.33463298;10.36101071;22
185;5.2;3.241655788;3.241655788;3.241655788;3.516542834;15.61403799;20.46395945;15.225289;3.241655788;6
186;5.4;0;0;0;0;0;0;0;0;0
187;5.3;0;0;0;0;0;0;0;0;0
188;5;0;0;0;0;0;0;0;0;0
189;5.2;0;0;0;0;0;0;0;0;0
190;5.4;0;0;0;0;0;0;0;0;0
191;5.5;0;0;0;0;0;0;0;0;0
192;4.9;0;0;0;0;0;0;0;0;0
193;4.5;0;0;0;0;0;0;0;0;0
194;4.8;0;0;0;0;0;0;0;0;0
195;5;0;0;0;0;0;0;0;0;0
196;4.1;0;0;0;0;0;0;0;0;0
197;3.2;0;0;0;0;0;0;0;0;0
198;3.9;0;0;0;0;0;0;0;0;0
199;2.7;0;0;0;0;0;0;0;0;0
200;2.1;0;0;0;0;0;0;0;0;0
201;2.4;0;0;0;0;0;0;0;0;0
