Hour,Grid_kVA
7255,59.59155333333333
7256,59.59155333333333
7257,40.84003333333334
7258,40.84003333333334
7259,40.84003333333334
7260,40.84003333333334
7261,42.379533333333335
7262,34.81203333333333
7263,34.81203333333333
7264,34.81203333333333
7265,34.81203333333333
7266,49.94703333333334
7267,49.043033333333334
7268,40.00103333333333
7269,40.00103333333333
7270,40.00103333333333
7271,40.00103333333333
7272,55.07103333333333
7273,59.59155333333333
7274,59.59155333333333
7275,59.59155333333333
7276,59.59155333333333
7277,59.59155333333333
7278,59.59155333333333
7279,59.59155333333333
7280,59.59155333333333
7281,40.84003333333334
7282,40.84003333333334
7283,40.84003333333334
7284,40.84003333333334
7285,42.379533333333335
7286,34.81203333333333
7287,34.81203333333333
7288,27.186033333333334
7289,27.186033333333334
7290,42.32103333333333
7291,42.32103333333333
7292,27.716033333333336
7293,27.716033333333336
7294,27.716033333333336
7295,27.716033333333336
7296,48.34903333333334
7297,59.59155333333333
7298,59.59155333333333
7299,59.59155333333333
7300,59.59155333333333
7301,59.59155333333333
7302,59.59155333333333
7303,59.59155333333333
7304,59.59155333333333
7305,40.84003333333334
7306,40.84003333333334
7307,40.84003333333334
7308,40.84003333333334
7309,42.379533333333335
7310,34.81203333333333
7311,34.81203333333333
7312,34.81203333333333
7313,34.81203333333333
7314,49.94703333333334
7315,49.043033333333334
7316,40.00103333333333
7317,40.00103333333333
7318,40.00103333333333
7319,40.00103333333333
7320,55.07103333333333
7321,59.59155333333333
7322,59.59155333333333
7323,59.59155333333333
7324,59.59155333333333
7325,59.59155333333333
7326,59.59155333333333
7327,59.59155333333333
7328,59.59155333333333
7329,40.84003333333334
7330,40.84003333333334
7331,40.84003333333334
7332,40.84003333333334
7333,42.379533333333335
7334,34.81203333333333
7335,34.81203333333333
7336,27.186033333333334
7337,27.186033333333334
7338,42.32103333333333
7339,42.32103333333333
7340,27.716033333333336
7341,27.716033333333336
7342,27.716033333333336
7343,27.716033333333336
7344,50.15703333333333
7345,59.59155333333333
7346,59.59155333333333
7347,59.59155333333333
7348,59.59155333333333
7349,59.59155333333333
7350,59.59155333333333
7351,59.59155333333333
7352,59.59155333333333
7353,55.975033333333336
7354,55.975033333333336
7355,55.975033333333336
7356,55.975033333333336
7357,49.94703333333334
7358,49.94703333333334
7359,49.94703333333334
7360,42.32103333333333
7361,42.32103333333333
7362,42.32103333333333
7363,42.32103333333333
7364,27.716033333333336
7365,27.716033333333336
7366,27.716033333333336
7367,27.716033333333336
7368,48.34903333333334
7369,59.59155333333333
7370,59.59155333333333
7371,59.59155333333333
7372,59.59155333333333
7373,59.59155333333333
7374,59.59155333333333
7375,59.59155333333333
7376,59.59155333333333
7377,55.975033333333336
7378,55.975033333333336
7379,55.975033333333336
7380,55.975033333333336
7381,49.94703333333334
7382,49.94703333333334
7383,49.94703333333334
7384,42.32103333333333
7385,42.32103333333333
7386,42.32103333333333
7387,42.32103333333333
7388,27.716033333333336
7389,27.716033333333336
7390,27.716033333333336
7391,27.716033333333336
7392,48.34903333333334
7393,59.59155333333333
7394,59.59155333333333
7395,59.59155333333333
7396,59.59155333333333
7397,59.59155333333333
7398,59.59155333333333
7399,59.59155333333333
7400,59.59155333333333
7401,40.84003333333334
7402,40.84003333333334
7403,40.84003333333334
7404,40.84003333333334
7405,42.379533333333335
7406,34.81203333333333
7407,34.81203333333333
7408,34.81203333333333
7409,34.81203333333333
7410,49.94703333333334
7411,49.043033333333334
7412,40.00103333333333
7413,40.00103333333333
7414,40.00103333333333
7415,40.00103333333333
7416,55.07103333333333
7417,59.59155333333333
7418,59.59155333333333
7419,59.59155333333333
7420,59.59155333333333
7421,59.59155333333333
7422,59.59155333333333
7423,59.59155333333333
7424,59.59155333333333
7425,40.84003333333334
7426,40.84003333333334
7427,40.84003333333334
7428,40.84003333333334
7429,42.379533333333335
7430,34.81203333333333
7431,34.81203333333333
7432,34.81203333333333
7433,34.81203333333333
7434,49.94703333333334
7435,49.043033333333334
7436,40.00103333333333
7437,40.00103333333333
7438,40.00103333333333
7439,40.00103333333333
7440,55.07103333333333
7441,59.59155333333333
7442,59.59155333333333
7443,59.59155333333333
7444,59.59155333333333
7445,59.59155333333333
7446,59.59155333333333
7447,59.59155333333333
7448,59.59155333333333
7449,40.84003333333334
7450,40.84003333333334
7451,40.84003333333334
7452,40.84003333333334
7453,42.379533333333335
7454,34.81203333333333
7455,34.81203333333333
7456,27.186033333333334
7457,27.186033333333334
7458,42.32103333333333
7459,42.32103333333333
7460,27.716033333333336
7461,27.716033333333336
7462,27.716033333333336
7463,27.716033333333336
